year,variable,std,lon,lat,ENSOMIEV29,ENSOMIEV30,ENSOMIEV31,ENSOMIEV32,ensomiev1,ensomiev2,ensomiev3,ensomiev4,ensomiev5,ensomiev6,ensomiev7,ensomiev8,ensomiev9,ensomievG,PDO9,PDO10,PDO11,PDO12,pdo1,pdo2,pdo3,pdo4,pdo5,pdo6,pdo7,pdo8,pdo9,pdoG,NAO9,NAO10,NAO11,NAO12,Nao1,Nao2,Nao3,Nao4,Nao5,Nao6,Nao7,Nao8,Nao9,GNAO,AO9,AO10,AO11,AO12,Ao1,Ao2,Ao3,Ao4,Ao5,Ao6,Ao7,Ao8,Ao9,GAO,HAIBING9,HAIBING10,HAIBING11,HAIBING12,haibing1,haibing2,haibing3,haibing4,haibing5,haibing6,haibing7,haibing8,haibing9,Ghaibing
2007,X1001,0.967,105.2,35.6,-0.052,-1.939,0.221,-0.263,-0.239,0.555,1.012,1.498,-0.058,1.222,0.353,0.467,-0.544,0.171769231,1.48,-0.752,-1.825,-0.736,0.373,1.838,1.5,0.765,-0.41,-0.131,-1.64,0.893,-0.361,0.076461538,-0.109,-0.75,0.96,-1.961,0.842,-0.867,0.2,-0.193,-2.634,-0.439,0.805,-1.083,-0.768,-0.461307692,-1.327,1.312,-1.163,0.44,-0.42,-0.319,-1.222,-0.793,1.88,0.37,-1.128,-1.2,-0.053,-0.278692308,-2.719,-0.455,0.156,-1.38,-0.311,0.512,-1.235,0.435,0.572,-0.479,-0.479,-0.042,-0.823,-0.480615385
2008,X1001,0.909,105.2,35.6,-1.753,0.107,0.31,-0.313,0.069,1.059,-0.526,-0.229,0.091,1.669,-0.182,1.294,-0.859,0.056692308,-0.41,-0.167,0.252,0.194,-0.356,1.235,1.015,0.705,-0.691,-1.64,0.933,-0.802,-0.661,-0.030230769,-0.474,0.47,0.098,-2.419,0.221,-0.696,0.335,0.504,1.29,-0.076,0.114,-1.165,1.393,-0.031153846,-0.804,-0.02,-2.787,0.39,0.763,0.6,0.425,1.741,-0.581,0.743,1.331,0.249,1.554,0.277230769,-0.415,0.132,-0.337,0.436,0.87,-0.688,-0.674,1.134,-0.835,0.642,0.979,0.724,-0.991,0.075153846
2009,X1001,0.814,105.2,35.6,0.099,0.609,-1.421,0.074,1.326,2.414,-0.308,-0.692,0.413,1.093,-0.735,-0.419,0.23,0.206384615,-1.002,1.403,0.901,-0.049,-0.05,-1.266,1.844,0.074,0.356,-0.248,-0.303,-0.587,-0.681,0.030153846,0.2,0.916,1.622,0.756,0.405,-0.136,0.683,0.649,-0.182,0.039,0.659,-1.913,-0.406,0.253230769,-0.242,-1.048,-0.134,0.214,0.017,-0.713,-1.051,0.373,0.885,-0.003,-0.135,-0.244,0.623,-0.112153846,0.163,-0.735,-0.222,-0.52,-0.835,0.093,0.047,0.837,1.989,-1.701,0.836,-0.291,1.498,0.089153846
2010,X1001,0.883,105.2,35.6,-0.572,-1.451,0.955,1.063,-0.698,-1.965,1.085,-1.367,-0.61,-1.491,-0.413,1.317,-0.943,-0.391538462,0.229,-1.114,0.88,0.96,0.879,-0.804,0.42,-0.955,1.113,-1.3,-0.176,-0.699,-1.289,-0.142769231,0.627,-0.566,1.044,-0.011,1.345,1.322,-0.663,1.261,-1.335,-0.258,0.093,0.43,0.314,0.277153846,0.414,-0.44,-0.162,0.937,-1.234,1.094,0.494,0.262,0.78,-0.087,-1.14,-0.432,-0.016,0.036153846,-2.246,-1.801,1.175,0.901,0.745,-0.898,-1.317,-0.321,-1.388,-0.404,-1.065,1.633,-0.302,-0.406769231
2011,X1001,0.699,105.2,35.6,-0.974,0.481,0.784,0.426,-0.749,0.273,0.001,2.126,-0.655,1.277,-1.081,-1.465,2.044,0.191384615,0.686,2.38,2.232,-0.632,1.125,0.208,-3.289,-1.25,0.148,-0.265,-0.537,0.883,0.484,0.167153846,1.692,-0.841,-2.222,0.697,-1.27,-1.35,0.497,-0.77,0.118,-0.465,1.096,0.231,1.199,-0.106769231,0.876,0.277,-1.574,-1.565,-0.421,-1.658,-0.076,1.472,-1.008,-0.091,0.721,0.644,-0.837,-0.249230769,1.303,1.131,-1.841,-0.668,0.32,-0.409,0.011,-1.589,-1.18,-0.552,1.794,-0.034,0.378,-0.102769231
2012,X1001,1.347,105.2,35.6,-0.18,-0.828,2.3,1.433,-0.62,0.655,-1.68,0.115,-0.185,-1.229,0.469,-0.645,-1.825,-0.170769231,-1.494,-0.667,-0.64,-0.123,0.298,0.364,0.642,0.303,-0.802,-1.401,-0.073,-0.06,0.223,-0.263846154,1.663,-0.73,1.203,0.886,-0.597,-0.786,1.147,0.352,0.021,-0.96,0.625,-1.775,-1.648,-0.046076923,-2.334,0.026,0.52,-0.258,-1.1,-2.743,1.152,1.231,-0.146,0.534,-0.114,0.46,1.65,-0.086307692,-0.542,0.662,-0.066,0.338,1.317,1.342,0.884,0.078,-0.241,0.49,-1.54,-0.589,-1.223,0.07
2013,X1001,1.217,105.2,35.6,1.015,1.02,0.157,-0.008,-1.585,-0.055,-0.847,-0.594,0.171,-0.072,1.332,-1.353,0.509,-0.023846154,-1.636,-0.521,-0.98,2.271,-0.807,-1.191,0.213,-0.144,-0.077,-2.043,0.192,0.538,0.511,-0.282615385,1.853,-1.084,-1.018,-0.619,-0.718,-0.044,-0.459,-1.306,-0.459,-0.252,0.664,1.61,1.354,-0.036769231,0.381,-1.676,1,-0.094,0.912,1.776,0.437,-0.345,0.674,-1.535,0.25,0.696,-0.91,0.120461538,1.137,-0.3,-0.521,-0.825,1.465,-0.03,0.686,1.324,-1.419,1.411,-1.605,-0.283,0.843,0.144846154
2014,X1001,0.841,105.2,35.6,-1.993,0.538,0.047,1.126,0.82,-1.558,1.008,1.078,-0.317,0.734,0.244,0.309,-1.996,0.003076923,0.046,-0.039,0.326,-1.284,0.754,-0.637,-1.718,1.065,-1.01,0.852,-1.733,2.376,1.808,0.062,0.623,0.11,-0.087,1.632,-0.914,-1.235,0.565,-1.843,1.029,-1.326,0.715,-0.682,0.558,-0.065769231,-0.428,1.304,0.222,-1.461,-0.124,0.717,-1.075,-0.306,0.27,-0.331,-1.334,-0.377,-0.445,-0.259076923,-0.488,-1.083,0.456,-0.296,-0.187,0.012,0.002,1.174,0.77,-1.37,2.465,0.144,-0.52,0.083
2015,X1001,1,105.2,35.6,-0.427,0.769,0.097,0.883,0.192,0.742,-0.611,-1.1,0.317,-0.214,0.813,0.421,-0.494,0.106769231,0.48,1.075,-1.685,0.317,0.15,3.084,-0.131,-0.016,-1.009,0.26,-0.802,-0.994,-1.703,-0.074923077,1.803,1.224,0.26,2.066,0.057,-1.339,-1.669,-1.516,-0.84,-1.474,-0.335,-0.496,-0.253,-0.193230769,-0.583,-0.1,0.341,0.247,0.899,1.782,0.059,-1.688,-1.064,0.851,0.276,0.493,-1.227,0.022,-1.552,-1.467,0.296,-1.677,-0.331,-2.178,-1.947,-0.544,-0.948,1.482,-1.09,-0.184,0.231,-0.762230769
2016,X1001,0.995,105.2,35.6,0.117,0.121,0.07,0.612,0.207,-0.779,0.333,0.727,-1.102,-0.15,-0.651,-1.366,1.484,-0.029,-2.344,3.236,1.211,0.411,1.137,0.937,-0.672,-0.371,-2.503,-1.164,0.452,1.327,0.287,0.149538462,-1.106,-2.606,-0.683,0.158,-0.475,-0.289,-0.383,-1.925,0.182,-0.538,0.636,-0.472,0.639,-0.527846154,-0.502,-1.741,-0.118,0.469,0.172,0.407,-1.946,-1.615,-1.298,-0.559,-0.11,0.103,0.065,-0.513307692,0.677,-0.432,-2.044,-0.336,0.939,-0.655,1.231,-1.347,0.048,1.806,-0.372,0.625,-0.133,0.000538462
2017,X1001,1.201,105.2,35.6,-0.893,0.864,-1.848,0.415,-0.043,0.506,0.014,1.441,-1.431,0.125,-0.14,0.048,1.122,0.013846154,-1.706,0.483,-1.047,-0.449,-1.601,1.391,-0.443,1.511,-0.261,-1.412,-0.122,0.624,-0.269,-0.253923077,0.148,-0.079,-0.767,-0.237,0.684,-0.498,-0.008,-0.875,-1.255,-1.317,1.061,-2.574,-0.576,-0.484076923,-0.054,0.638,-0.288,-0.296,-0.315,-0.004,-1.33,1.104,0.502,-1.103,0.05,-2.552,2.08,-0.120615385,-0.302,0.482,-1.453,2.078,0.805,-0.787,0.885,2.001,-1.373,-0.312,-0.592,1.248,-2.059,0.047769231
2018,X1001,1.008,105.2,35.6,0.334,1.381,-1.671,-0.28,-0.51,0.908,-0.496,-0.21,1.892,0.428,-0.136,-0.914,-1.4,-0.051846154,0.308,0.62,0.439,-0.71,-0.744,-0.793,0.471,-0.265,0.588,-1.228,0.104,0.015,-0.38,-0.121153846,1.45,1.311,0.012,0.606,1.288,0.554,0.51,-1.268,0.376,2.29,0.397,0.315,-0.009,0.602461538,-0.155,-0.478,0.457,-0.421,-2.138,0.355,0.886,0.256,0.047,0.166,-0.816,-0.052,1.203,-0.053076923,-0.081,0.672,-0.45,0.319,-1.119,-0.748,-0.515,1.071,-1.038,-1.568,-0.268,-1.244,1.297,-0.282461538
2019,X1001,1.023,105.2,35.6,0.411,1.966,-0.078,-0.109,-0.823,1.284,-0.351,1.451,0.398,0.411,-1.431,0.494,-1.476,0.165153846,0.889,-1.374,-0.338,-1.457,0.533,-0.308,-0.592,-0.674,0.271,-0.537,-0.299,-1.181,-0.694,-0.443153846,-0.294,-0.788,0.27,0.899,-0.682,-0.389,-0.932,1.821,0.317,0.347,-0.936,-0.202,-0.817,-0.106615385,0.034,0.674,-0.566,1.709,0.733,-0.681,1.291,0.231,0.769,0.447,-0.137,-0.468,0.218,0.327230769,-0.294,-0.049,1.784,-0.468,0.639,0.656,1.286,-0.804,-0.658,0.545,-0.302,0.138,1.029,0.269384615
1969,X1002,0.995,108.5,37.1,-0.033,-0.028,-0.581,0.229,0.852,-1.558,0.392,0.642,-0.397,-1.726,0.089,-1.555,0.058,-0.278153846,-0.381,0.141,-2.379,-1.418,-1.353,-1.351,-0.652,0.672,-1.049,1.201,1.218,2.845,-0.194,-0.207692308,0.476,-0.108,-1.597,1.332,0.413,-1.475,-0.257,0.77,-1.481,0.904,-0.536,-0.336,0.481,-0.108769231,1.468,0.648,0.822,1.023,0.049,1.373,-0.38,-1.208,0.927,0.292,-0.359,-0.085,0.113,0.360230769,-0.133,-0.512,-0.882,2.546,-0.329,1.227,0.398,-0.117,1.945,0.103,0.756,-0.245,-0.822,0.302692308
1970,X1002,1.036,108.5,37.1,-2.466,-2.249,0.055,0.049,-1.426,1.082,0.21,-0.679,-0.28,-0.176,0.479,0.865,-0.953,-0.422230769,1.2,-2.36,0.259,-0.264,2.749,0.362,-1.457,1.503,-0.468,0.38,0.002,-1.659,0.937,0.091076923,0.762,0.795,1.772,0.728,0.316,2.457,0.118,-0.245,-0.368,-0.515,-0.642,0.703,-0.264,0.432076923,-0.134,-1.71,-0.317,-1.708,-0.183,-0.489,-0.425,-0.805,-0.314,0.623,-0.05,0.211,-1.405,-0.515846154,-0.639,1.486,-0.079,0.937,-0.889,-1.646,0.207,-0.205,-0.544,-0.791,0.034,-0.609,0.155,-0.198692308
1971,X1002,1.319,108.5,37.1,2.571,0.032,-2.111,0.943,0.44,-0.757,1.235,0.574,0.785,0.287,0.683,-0.044,0.406,0.388,-0.614,-0.258,-1.103,1.253,-0.852,-0.05,0.172,-0.977,1.131,-0.957,-0.079,-0.765,-0.822,-0.301615385,-0.211,0.365,1.347,-0.124,-0.933,-0.487,0.904,-0.399,0.691,-1.502,0.914,0.314,-0.23,0.049923077,0.185,0.599,0.661,-0.313,-0.253,-0.329,-0.486,-0.12,0.546,-1.035,0.411,-1.053,0.204,-0.075615385,-0.465,-0.168,0.854,-0.05,0.887,0.274,-0.074,0.202,-1.067,1.891,-0.012,-0.162,-1.051,0.081461538
1972,X1002,1.039,108.5,37.1,-0.205,0.206,-1.499,-0.109,-0.793,-1.289,-0.2,-0.705,-0.21,0.591,1.316,-1.036,-0.984,-0.378230769,-0.167,1.461,0.922,0.054,0.447,2.312,0.551,-0.273,0.739,0.978,0.69,1.126,-0.31,0.656153846,1.252,0.33,-0.331,0.357,0.256,2.391,0.795,1.472,1.2,-0.478,0.409,-0.647,1.404,0.646923077,-0.68,-0.538,2.096,-0.268,0.063,-0.827,0.288,-0.163,0.333,0.871,1.783,-0.975,1.286,0.251461538,-0.389,0.086,2.741,-0.973,-2.557,-2.03,1.11,0.898,0.619,-0.722,-0.096,0.341,0.835,-0.010538462
1973,X1002,1.333,108.5,37.1,0.651,-0.155,-1.101,-0.07,0.282,1.314,-0.923,-0.534,0.192,-0.317,-1.473,-0.083,-1.61,-0.294384615,1.35,-0.198,-2.451,1.546,-1.728,-0.318,0.572,-0.345,0.539,-1.391,2.296,-1.554,0.421,-0.097,0.544,-2.287,-1.692,-0.4,-0.785,-0.935,-0.165,0.258,0.547,1.18,-0.487,-0.317,1.479,-0.235384615,1.039,-0.398,0.004,0.223,0.77,0.391,1.745,0.816,-1.348,0.689,0.886,0.571,0.453,0.449307692,1.014,-0.609,2.271,-1.41,-0.55,-1.132,-0.203,-0.766,1.505,0.223,0,0.131,0.672,0.088153846
1974,X1002,0.744,108.5,37.1,0.274,0.568,0.986,-0.484,-0.741,1.146,0.166,0.774,-0.265,-0.703,0.618,-0.266,-0.43,0.126384615,-0.082,-0.058,-0.131,-0.602,2.205,0.011,1.189,0.033,-0.321,1.677,0.545,0.44,0.453,0.412230769,-0.79,-0.411,1.025,-0.924,-1.064,0.539,0.292,-0.774,-0.35,1.076,1.153,-1.595,-0.699,-0.194,-0.753,0.014,-0.669,-0.01,0.319,-1.248,-0.97,1.117,1.06,0.278,-0.115,-0.472,-0.247,-0.130461538,-1.352,0.365,1.526,0.632,0.544,0.651,0.465,-0.05,-0.897,0.43,-0.11,-0.14,-2.287,-0.017153846
1975,X1002,1.083,108.5,37.1,1.025,1.011,-1.098,-0.138,-0.523,-0.243,0.705,-0.476,-0.501,-1.368,0.717,-0.364,-1.224,-0.190538462,0.026,0.039,-1.053,0.579,0.726,-0.941,-2.365,0.331,-0.053,-0.25,1.16,-1.567,1.748,-0.124615385,1.179,-0.189,2.018,-1.478,-1.832,-0.646,0.288,-0.126,2.2,-0.831,0.355,2.843,0.861,0.357076923,-0.027,0.239,0.969,0.323,-1.407,-0.181,2.023,1.414,-0.709,0.502,-1.329,-0.781,0.742,0.136769231,0.712,0.674,0.164,-0.364,1.013,-0.007,-0.516,-0.632,-0.434,-1.517,0.658,-1.51,-1.519,-0.252153846
1976,X1002,0.962,108.5,37.1,0.818,-0.518,-0.8,-0.069,1.769,0.76,2.282,-0.024,0.602,-0.729,-0.21,-1.497,1.087,0.267,-0.9,-0.124,1.127,0.124,-0.514,0.23,0.033,0.73,-1.114,1.432,-0.826,0.453,-0.3,0.027,-1.233,1.06,-1.118,-1.424,1.714,1.067,-0.783,0.043,-0.468,-1.964,0.207,-1.062,0.49,-0.267,-0.686,-0.113,-0.512,-0.037,0.399,-2.337,0.999,-0.283,1.15,-1.469,-1.687,0.15,-0.11,-0.348923077,-0.08,0.554,-1.005,2.289,-0.791,-1.206,0.675,0.966,0.428,1.462,-0.085,0.538,-0.855,0.222307692
1977,X1002,0.96,108.5,37.1,-0.21,-0.294,0.08,-2.314,0.668,-0.86,-0.464,1.019,0.141,-0.122,0.602,-0.585,-0.335,-0.205692308,0.067,0.1,-0.728,0.363,0.261,-0.784,-1.334,1.047,0.039,-1.017,0.074,2.177,-0.177,0.006769231,0.943,0.319,0.162,-0.397,-0.126,-0.625,2.382,-0.11,-1.157,-0.354,-0.069,-0.712,0.74,0.076615385,0.878,0.736,0.642,0.904,0.801,0.25,-0.294,0.432,-1.791,1.961,0.37,-0.192,-0.021,0.359692308,0.771,0.437,-0.204,0.01,-0.334,-2.408,-0.012,1.692,-1.149,1.854,0.698,0.581,0.08,0.155076923
1978,X1002,0.996,108.5,37.1,0.378,0.398,-0.323,-1.365,-2.145,-0.151,-0.326,-1.206,1.302,-0.635,-1.415,-0.173,-0.038,-0.438384615,-0.644,-1.511,0.935,0.205,-0.71,-1.038,0.609,-0.73,0.405,-0.03,-0.493,0.198,-1.782,-0.352769231,-0.802,0.758,-1.457,0.54,-0.334,-0.016,0.209,2.225,-0.668,-0.296,-1.649,1.638,0.629,0.059769231,0.262,-1.373,-0.536,1.111,0.464,0.541,-1.641,0.513,0.188,-0.631,0.96,-0.356,0.543,0.003461538,-0.003,1.324,1.051,-0.206,0.554,0.64,-0.366,-0.62,0.133,0.554,-0.031,0.504,-1.184,0.180769231
1979,X1002,0.866,108.5,37.1,-0.945,-0.55,0.146,-0.072,0.126,-0.094,0.882,1.595,-1.125,0.595,0.214,-1.483,1.381,0.051538462,-1.799,-0.481,-0.468,0.778,-1.719,-0.104,0.08,-0.014,0.055,-0.51,0.895,0.481,1.312,-0.114923077,0.609,0.855,-0.5,0.99,1.432,0.541,0.481,0.974,1.347,0.833,2.76,0.337,-0.595,0.774153846,2.227,-0.548,0.014,-2.222,0.937,1.06,0.352,-0.318,1.007,1.163,2.786,-0.616,-1.12,0.363230769,-1.969,0.556,1.238,-0.552,1.103,0.584,-1.72,-0.442,-1.97,1.175,0.83,0.431,0.663,-0.005615385
1980,X1002,0.94,108.5,37.1,0.857,0.091,2.305,-0.265,-0.452,-0.281,1.281,2.042,-0.135,0.368,-3.129,0.302,1.858,0.372461538,-0.97,-0.342,0.13,-0.008,-1.089,-0.903,-1.069,0.788,0.215,0.341,0.144,0.727,0.731,-0.100384615,0.442,-1.449,0.628,0.13,2.133,-0.334,-1.331,0.59,-0.402,-0.623,-0.661,-1.331,0.002,-0.169692308,-0.62,0.265,0.189,1.593,-1.828,-0.725,1.244,0.892,-0.884,1.224,0.805,0.249,0.21,0.201076923,-1.616,-0.784,-0.184,-1.225,-0.634,1.951,-1.58,0.509,-0.353,-0.59,0.709,-0.452,-0.123,-0.336307692
1981,X1002,0.86,108.5,37.1,-0.461,-1.962,-1.125,-1.201,-1.137,0.734,-0.659,0.614,-0.209,-1.609,0.312,1.373,-0.053,-0.414076923,-0.239,0.57,1.462,0.969,-0.911,-0.862,-0.378,-0.594,-2.405,-0.97,0.642,-0.796,0.992,-0.193846154,1.175,0.542,-1.45,-0.24,-0.722,-0.715,-0.236,-0.516,0.526,-1.565,-0.16,0.493,-0.656,-0.271076923,1.132,0.049,-0.381,-0.784,-0.11,-1.611,0.75,0.259,-1.377,-1.371,0.331,0.74,-1.502,-0.298076923,-0.983,-0.75,-0.822,0.023,-0.088,1.347,-0.297,1.546,-0.996,-0.299,-0.961,0.553,0.044,-0.129461538
1982,X1002,0.88,108.5,37.1,2.417,-1.12,-0.305,-1.992,0.21,1.537,0.665,0.422,-1.075,0.317,1.602,0.782,0.333,0.291769231,0.164,0.207,-0.682,0.49,1.141,0.51,1.403,0.456,0.286,-1.225,2.682,-0.96,-1,0.267076923,0.417,0.508,-1.097,-1.794,-1.215,-0.204,-0.179,1.548,1.642,0.679,-0.671,-0.636,-0.306,-0.100615385,-0.619,1.442,1.74,-2.221,0.656,1.674,0.765,1.001,-0.549,-0.465,0.023,0.508,2.589,0.503384615,-0.018,-0.636,-0.519,-1.866,0.406,-0.261,-1.063,0.572,-0.904,0.557,-1.142,2.897,-0.911,-0.222153846
1983,X1002,1.134,108.5,37.1,-1.651,-1.328,-0.517,-0.354,0.13,-0.456,-0.565,-0.496,0.998,0.542,1.542,-0.799,1.309,-0.126538462,1.068,-0.759,1.819,-0.01,0.466,1.089,-0.541,1.744,-0.327,-0.95,-0.658,-0.531,1.524,0.302615385,0.849,-1.29,-0.353,-0.246,-0.078,-1.858,0.807,0.822,-0.34,-0.749,0.701,-0.245,-0.504,-0.191076923,-0.839,0.028,-0.308,1.294,0.076,-1.746,-0.867,0.636,1.742,-0.03,-0.131,-0.634,0.128,-0.050076923,0.056,-0.488,-1.014,-0.309,-1.15,-0.139,0.844,0.214,0.286,0.317,-1.532,-0.416,0.6,-0.210076923
1984,X1002,1.141,108.5,37.1,-0.464,-0.854,1.512,0.653,-0.329,-0.033,-0.962,0.491,-0.107,-0.261,-2.66,-0.657,-0.174,-0.295769231,0.039,0.849,0.986,-0.113,-0.37,0.869,-1.725,-1.343,-1.262,1.766,0.553,0.357,-0.694,-0.006769231,-0.712,-2.087,-0.543,-0.874,-1.453,-0.204,0.491,-1.67,-0.653,0.317,0.509,0.907,-0.151,-0.471,-0.682,1.179,-0.003,-0.109,0.16,1.575,-0.968,0.71,-0.353,-0.91,0.084,-1.692,-1.393,-0.184769231,-0.366,1.818,2.927,-1.575,0.325,-0.189,0.311,-1.138,-0.434,-0.813,-1.171,0.651,0.175,0.040076923
1985,X1002,1.032,108.5,37.1,0.825,-0.693,-0.769,1.773,1.973,1.637,0.623,-0.502,-1.386,-0.026,0.535,-0.466,-1.044,0.190769231,-0.127,1.227,1.285,-1.277,-0.256,-0.005,1.089,0.724,-0.301,0.24,-1.029,-1.072,1.508,0.154307692,-0.091,0.244,0.018,-1.324,-0.621,-0.522,-0.205,-0.681,-0.49,-0.187,-0.376,-1.009,0.801,-0.341769231,-0.871,-1.669,0.679,1.392,0.61,-1.071,1.318,-1.808,0.399,0.356,-0.399,-0.841,-1.186,-0.237769231,-0.384,-0.585,0.888,-0.663,-1.109,-0.389,-0.627,-2.799,-0.158,0.068,-3.019,-0.134,0.012,-0.684538462
1986,X1002,1.143,108.5,37.1,0.51,0.382,-0.082,-0.038,-2.249,-0.329,0.106,0.288,-0.592,-0.432,-0.35,0.606,0.994,-0.091230769,1.106,-1.279,-2.246,-0.649,1.072,0.091,1.17,-0.072,0.19,1.029,-0.731,-0.076,-0.039,-0.033384615,1.058,0.457,-0.117,-1.094,-0.102,0.022,0.482,1.619,2.802,-0.445,-0.297,-0.888,-1.187,0.177692308,-0.551,-0.054,0.709,-0.356,0.944,0.497,0.228,0.466,-1.496,-0.127,0.44,-1.184,0.737,0.019461538,0.211,0.015,-1.017,1.646,-0.004,-1.96,-0.421,-1.48,-1.066,1.238,1.678,-0.235,-0.132,-0.117461538
1987,X1002,1.309,108.5,37.1,-0.589,0.982,0.787,1.493,0.838,-2.604,0.389,-0.687,-1.105,-0.293,-0.025,-0.04,-1.525,-0.183,2.415,0.184,-0.169,-0.263,-1.004,-0.758,-0.607,-1.001,-0.955,-0.762,1.107,0.8,0.578,-0.033461538,-0.841,-0.692,-1.964,-0.419,-0.524,-1.616,0.38,-1.868,-0.776,0.308,-1.771,0.057,0.431,-0.715,0.41,0.073,0.133,1.011,-0.901,0.077,-1.193,-0.348,0.666,-0.554,-1.605,0.554,-1.944,-0.278538462,-1.291,0.572,-1.087,-0.106,1.099,0.464,0.227,-1.977,0.2,-0.724,1.018,0.335,-0.653,-0.147923077
1988,X1002,0.832,108.5,37.1,-0.997,-0.727,-1.059,0.083,-0.289,0.514,-0.581,0.788,1.039,-1.007,-2.216,-0.945,-0.245,-0.434,-0.085,-0.749,-1.467,0.936,0.599,0.295,1.654,0.263,0.021,-0.111,-0.083,-0.548,0.148,0.067153846,-1.02,1.025,-1.28,-0.36,1.685,0.621,1.043,-0.441,0.32,0.499,1.355,-1.293,0.217,0.182384615,-1.021,-1.055,-0.141,-1.755,-0.694,-0.109,1.09,-0.802,0.479,-0.764,-0.711,0.747,-0.917,-0.434846154,-0.557,-0.317,1.133,-0.964,-0.775,0.826,-0.403,0.389,-0.061,-0.502,-0.847,1.006,-1.222,-0.176461538
1989,X1002,0.512,108.5,37.1,0.144,-0.997,1.655,0.116,0.657,-0.886,1.795,0.691,2.543,0.425,0.385,-1.512,-0.402,0.354923077,1.178,-0.608,0.759,0.791,-0.934,0.999,-0.166,-0.049,-1.179,-0.092,0.353,-0.057,-0.842,0.011769231,-0.161,-1.368,0.147,1.154,0.234,-0.063,1.135,0.135,0.881,-0.933,-0.607,-0.027,0.961,0.114461538,0.545,1.579,1.015,0.557,-0.592,-0.873,-1.571,1.609,0.539,0.883,-0.295,0.944,-0.617,0.286384615,-1.199,1.305,-0.397,-1.422,0.523,-0.831,0.5,0.001,-0.551,-1.1,-0.527,0.016,-0.967,-0.357615385
1990,X1002,1.138,108.5,37.1,-0.014,-1.042,0.676,0.325,-0.454,-0.999,0.665,1.243,-0.674,-1.225,-0.527,0.559,-0.523,-0.153076923,0.486,0.42,1.223,-0.806,0.717,-0.972,-1.274,-1.024,-1.082,-0.276,-0.716,0.175,-0.161,-0.253076923,-0.122,1.937,0.468,2.211,0.123,-1.075,0.505,-1.134,-1.134,-0.294,-0.34,-1.557,-1.557,-0.151461538,-0.806,-0.616,0.349,-1.191,0.739,-0.657,0.82,-1.264,-0.771,0.34,0.132,0.018,-0.882,-0.291461538,1.385,-1.311,0.189,-1.184,0.494,-0.542,0.037,-0.038,-0.912,0.755,1.871,-1.064,-2.19,-0.193076923
1991,X1002,0.872,108.5,37.1,-1.79,-0.415,-1.074,-0.871,-0.594,1.421,-0.374,1.982,-0.092,-0.59,0.374,-1.044,-2.754,-0.447769231,-0.076,0.842,-0.618,-0.476,1.257,0.999,-0.306,0.02,1.814,-0.139,-0.13,-1.611,-0.53,0.080461538,0.002,0.615,1.449,0.482,1.672,1.276,-1.151,1.261,0.424,1.081,0.618,-0.771,0.545,0.577153846,1.14,0.513,0.998,0.957,-0.06,-0.69,-1.764,1.323,-1.316,-1.244,0.92,-1.81,1.052,0.001461538,-2.062,1.204,-1.87,0.87,-0.542,-0.106,0.441,0.789,0.611,-0.812,-1.589,-0.917,0.378,-0.277307692
1992,X1002,0.919,108.5,37.1,0.035,-0.239,0.455,-0.052,-1.71,2.448,0.703,-0.646,0.28,-0.914,-0.191,0.497,-0.587,0.006076923,-1.921,0.38,-0.512,1.737,-0.437,-0.65,0.254,0.584,0.774,0.296,-0.988,-0.166,-1.021,-0.128461538,2.318,1.49,0.587,-0.113,1.51,-0.14,-0.309,-0.545,0.954,-0.268,-0.568,1.957,0.328,0.553923077,-0.308,1.008,-0.462,-0.174,0.707,0.611,-0.197,0.091,0.276,1.663,-0.943,2.687,-0.555,0.338769231,-2,0.82,-0.329,1.964,0.735,-1.428,-0.068,-0.154,0.146,0.581,-0.022,-0.145,0.795,0.068846154
1993,X1002,1.257,108.5,37.1,0.19,0.484,-0.213,0.908,-0.209,-1.04,-1.215,0.966,2.709,-0.871,-1.025,0.073,1.266,0.155615385,-0.968,-0.535,-1.622,-1.413,0.457,0.43,0.562,-0.198,-1.579,-0.792,0.593,-1.205,-0.142,-0.493230769,-1.503,0.816,-0.024,1.769,-0.317,-1.721,-0.366,-0.401,-0.019,-1.5,-0.495,0.567,-0.489,-0.283307692,-0.222,1.88,2.106,0.575,-0.173,0.474,-1.459,-1.914,0.678,1.128,0.632,-1.032,-0.978,0.130384615,-1.663,2.287,0.859,-0.23,-0.515,-0.691,1.206,1.348,-0.94,-0.966,-1.382,-1.512,-1.126,-0.255769231
1994,X1002,1.028,108.5,37.1,0.175,-0.321,0.313,-0.75,2.479,1.031,-0.138,-1.427,-2.329,-0.369,0.333,0.722,-0.469,-0.057692308,-0.557,1.13,0.791,0.179,-2.206,-1.388,0.385,1.797,-0.238,0.77,-0.915,-0.254,-0.887,-0.107153846,-0.918,0.345,0.606,0.576,0.012,1.549,1.531,-1.601,-0.797,-1.18,-1.878,-0.153,0.124,-0.137230769,1.69,0.499,1.639,0.089,-0.833,-0.365,0.098,0.337,0.69,-0.012,0.444,0.015,0.699,0.383846154,-0.085,-0.13,1.323,-0.223,0.711,-0.928,1.482,-0.642,1.429,-1.022,0.435,1.717,0.681,0.365230769
